time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,2,2,17,10
2026-09-11 00:00:00+00:00,0,0,8,7
2026-09-12 00:00:00+00:00,1,1,53,8
2026-09-13 00:00:00+00:00,20,9,17,13
2026-09-14 00:00:00+00:00,2,2,5,2
2026-09-15 00:00:00+00:00,2,2,4,3
2026-09-16 00:00:00+00:00,2,2,6,4
2026-09-17 00:00:00+00:00,0,0,1,1
2026-09-18 00:00:00+00:00,1,1,21,8
2026-09-19 00:00:00+00:00,3,2,18,8
2026-09-20 00:00:00+00:00,1,1,8,7
2026-09-21 00:00:00+00:00,34,18,4,4
2026-09-22 00:00:00+00:00,1,1,24,9
2026-09-23 00:00:00+00:00,2,2,10,8
