url_path,views_total,views_unique
/ing-gom/sts2-card-advisor,36,23
/ing-gom/sts2-card-advisor/releases,4,2
/ing-gom/sts2-card-advisor/releases/tag/v1.15.6,3,3
/ing-gom/sts2-card-advisor/blob/main/README.zh.md,3,2
/ing-gom/sts2-card-advisor/tree/main/spa,3,2
/ing-gom/sts2-card-advisor/blob/main/README.ko.md,2,2
/ing-gom/sts2-card-advisor/releases/tag/v1.16.0,2,2
/ing-gom/sts2-card-advisor/actions,1,1
/ing-gom/sts2-card-advisor/blob/main/README.md,1,1
/ing-gom/sts2-card-advisor/blob/main/spa/assets/index-Cf-iaEpV.js,1,1
