url_path,views_total,views_unique
/ing-gom/sts2-card-advisor,49,30
/ing-gom/sts2-card-advisor/blob/main/README.ko.md,14,8
/ing-gom/sts2-card-advisor/releases/tag/v1.15.4,6,6
/ing-gom/sts2-card-advisor/issues,5,4
/ing-gom/sts2-card-advisor/issues/2,4,3
/ing-gom/sts2-card-advisor/releases,4,2
/ing-gom/sts2-card-advisor/commit/2e5b6a0ffedb593605e8b8d6a07fc014b09902a2,3,3
/ing-gom/sts2-card-advisor/tree/main/spa,3,2
/ing-gom/sts2-card-advisor/commit/89075fe13ce98f74f250d7b6dcc0f581bab1b905,2,1
/ing-gom/sts2-card-advisor/stargazers,2,1
