url_path,views_total,views_unique
/ing-gom/sts2-card-advisor,49,21
/ing-gom/sts2-card-advisor/blob/main/README.ko.md,7,5
/ing-gom/sts2-card-advisor/releases/tag/v1.16.0,5,5
/ing-gom/sts2-card-advisor/blob/main/README.zh.md,3,3
/ing-gom/sts2-card-advisor/commit/7377eaa72ba0b384b5ea8854f733a76fed122696,3,3
/ing-gom/sts2-card-advisor/tree/main,3,3
/ing-gom/sts2-card-advisor/tree/main/rl,3,3
/ing-gom/sts2-card-advisor/branches,2,2
/ing-gom/sts2-card-advisor/releases,2,2
/ing-gom/sts2-card-advisor/tree/main/spa,2,2
