url_path,views_total,views_unique
/ing-gom/sts2-card-advisor,38,23
/ing-gom/sts2-card-advisor/releases,6,3
/ing-gom/sts2-card-advisor/blob/main/README.ko.md,3,3
/ing-gom/sts2-card-advisor/releases/tag/v1.15.6,3,3
/ing-gom/sts2-card-advisor/releases/tag/v1.16.0,3,3
/ing-gom/sts2-card-advisor/tree/main/spa,3,2
/ing-gom/sts2-card-advisor/blob/main/README.zh.md,2,1
/ing-gom/sts2-card-advisor/actions,1,1
/ing-gom/sts2-card-advisor/blob/main/spa/assets/index-Cf-iaEpV.js,1,1
/ing-gom/sts2-card-advisor/blob/main/spa/data/dashboard.json,1,1
