url_path,views_total,views_unique
/ing-gom/sts2-card-advisor,123,73
/ing-gom/sts2-card-advisor/blob/main/README.ko.md,29,21
/ing-gom/sts2-card-advisor/releases,13,6
/ing-gom/sts2-card-advisor/releases/tag/v1.14.1,9,7
/ing-gom/sts2-card-advisor/blob/main/README.zh.md,4,3
/ing-gom/sts2-card-advisor/releases/tag/v1.13.0,4,3
/ing-gom/sts2-card-advisor/blob/main/README.md,3,2
/ing-gom/sts2-card-advisor/graphs/traffic,3,1
/ing-gom/sts2-card-advisor/blob/main/index.html,2,2
/ing-gom/sts2-card-advisor/issues,2,2
