url_path,views_total,views_unique
/ing-gom/sts2-mod-uploader-ui,61,43
/ing-gom/sts2-mod-uploader-ui/pulse,3,2
/ing-gom/sts2-mod-uploader-ui/graphs/traffic,3,1
/ing-gom/sts2-mod-uploader-ui/blob/main/.claude/skills/workshop-upload/SKILL.md,2,2
/ing-gom/sts2-mod-uploader-ui/blob/main/workshop_dashboard.py,2,2
/ing-gom/sts2-mod-uploader-ui/deployments/github-pages,2,2
/ing-gom/sts2-mod-uploader-ui/blob/main/README.md,1,1
/ing-gom/sts2-mod-uploader-ui/commit/d46b6a3627282bfc74ec8f523727579a5e583a19,1,1
/ing-gom/sts2-mod-uploader-ui/projects,1,1
/ing-gom/sts2-mod-uploader-ui/pulls,1,1
