url_path,views_total,views_unique
/ing-gom/sts2-relic-forge/blob/main/PREFIXES.zh.md,20,19
/ing-gom/sts2-relic-forge/blob/main/PREFIXES.en.md,15,14
/ing-gom/sts2-relic-forge,14,7
/ing-gom/sts2-relic-forge/blob/main/prefix_dashboard.html,8,7
/ing-gom/sts2-relic-forge/blob/main/CURSES.zh.md,7,7
/ing-gom/sts2-relic-forge/tree/main,5,2
/ing-gom/sts2-relic-forge/blob/main/PREFIXES.md,3,2
/ing-gom/sts2-relic-forge/blob/main/README.ko.md,2,2
/ing-gom/sts2-relic-forge/blob/main/PREFIXES.ko.md,2,1
/ing-gom/sts2-relic-forge/graphs/traffic,2,1
