referrer,views_total,views_unique
Google,19,18
steamcommunity.com,17,10
chatgpt.com,6,1
Bing,4,3
nexusmods.com,3,3
DuckDuckGo,1,1
gall.dcinside.com,1,1
yandex.ru,1,1
