referrer,views_total,views_unique
Google,36,29
nexusmods.com,15,8
gall.dcinside.com,13,4
steamcommunity.com,8,6
github.com,6,3
Bing,2,2
DuckDuckGo,1,1
m.dcinside.com,1,1
