time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,1,1,6,4
2026-06-30 00:00:00+00:00,23,14,5,5
2026-07-01 00:00:00+00:00,1,1,8,6
2026-07-02 00:00:00+00:00,5,4,1,1
2026-07-03 00:00:00+00:00,1,1,14,7
2026-07-04 00:00:00+00:00,1,1,12,5
2026-07-05 00:00:00+00:00,0,0,8,6
2026-07-06 00:00:00+00:00,1,1,7,5
2026-07-07 00:00:00+00:00,0,0,9,6
2026-07-08 00:00:00+00:00,7,4,5,4
2026-07-09 00:00:00+00:00,0,0,11,4
2026-07-10 00:00:00+00:00,2,2,6,2
2026-07-11 00:00:00+00:00,4,3,3,2
2026-07-12 00:00:00+00:00,3,3,8,5
